longitude(double:m),	latitude(double:m)
27420.0,59410.0
28334.0,59867.0
28334.0,62609.0
30619.0,63980.0
31076.0,63980.0
32904.0,65351.0
31533.0,66265.0
30619.0,65808.0
31533.0,67179.0
33361.0,69464.0
34275.0,69921.0
36103.0,70378.0
37474.0,71749.0
37931.0,71749.0
38845.0,72663.0
39759.0,71749.0
38845.0,71749.0
38845.0,69921.0
37931.0,69464.0
38845.0,68550.0
40216.0,69464.0
42501.0,69464.0
42044.0,69921.0
42958.0,69692.5
42958.0,71292.0
42044.0,71292.0
42501.0,72206.0
42958.0,71749.0
43415.0,72434.5
45243.0,70835.0
43872.0,70378.0
43872.0,69464.0
44329.0,69007.0
43415.0,68093.0
43415.0,67636.0
42501.0,66722.0
42958.0,65808.0
42044.0,64437.0
42501.0,63066.0
43415.0,63066.0
43872.0,62152.0
42501.0,61695.0
42501.0,60781.0
43872.0,60781.0
41587.0,58496.0
41587.0,57125.0
40673.0,56668.0
39759.0,56211.0
38388.0,54383.0
36560.0,53469.0
35189.0,52555.0
33361.0,53012.0
31990.0,53926.0
30619.0,55297.0
29248.0,54383.0
29248.0,55754.0
28334.0,56211.0
